Branch;ID;ParentID;Time;Move;Opponent;Select;Visit;Win
0;29137520;140737108448112;33;51;1;0;0.01983;0.792716
0;140736974747488;140737108448112;33;35;1;0;0.02335;0.784271
0;29138528;140737108448112;33;47;1;0;0.01195;0.823834
0;140736974748208;140737108448112;33;31;1;0;0.02107;0.789514
0;29139968;140737108448112;33;4;1;0;0.02194;0.787403
0;140736974749216;140737108448112;33;9;1;0;0.02259;0.785948
0;29140112;140737108448112;33;45;1;0;0.01244;0.820996
0;29141072;140737108448672;34;4;1;0;0.00157;0.770143
0;140736974750256;140737108448672;34;46;1;0;0.00108;0.849168
0;29150512;140737108448672;34;35;1;0;0.00153;0.774924
0;140737242602720;140737108448672;34;16;1;0;0.00152;0.77581
0;140737242609664;140737108448672;34;47;1;0;0.0011;0.847379
0;140737242611872;140737108448672;34;45;1;0;0.00107;0.851168
0;140737108465856;140737108448672;34;37;1;0;0.00151;0.778273
0;140737108471616;140737108448672;34;26;1;0;0.0016;0.766723
0;29158656;140737108448672;34;1;1;0;0.00157;0.772357
0;140737242629072;140737108448672;34;7;1;0;0.00152;0.777399
0;140736974769792;140737108448672;34;31;1;0;0.00153;0.77475
0;140737108478528;140737108448672;34;9;1;0;0.00168;0.758673
0;140737242642464;140737108448672;34;32;1;0;0.00148;0.781682
0;29169888;140737108448672;34;51;1;1;0.00132;0.804388
0;140737242742992;29169888;35;46;1;0;0.00011;0.745372
0;29265728;29169888;35;35;1;1;0.00011;0.722474
0;140737108536784;29169888;35;47;1;0;0.00012;0.761162
0;140736974912432;29169888;35;45;1;0;0.0001;0.731211
0;140736974937664;29169888;35;1;1;0;0.00011;0.690041
0;140737242884016;29169888;35;9;1;0;0.00011;0.75591
0;140737108638688;29169888;35;26;1;0;0.00013;0.724582
0;140737242967216;29169888;35;32;1;0;0.0001;0.736913
0;140737108706304;29169888;35;16;1;0;0.0001;0.741513
0;140736975025552;29169888;35;31;1;0;0.0001;0.746091
0;140737243131200;29169888;35;4;1;0;0.00012;0.740172
0;140737108815040;29169888;35;7;1;0;0.0001;0.721652
0;140737243228128;29169888;35;37;1;0;0.00012;0.752578
0;140737109411856;29265728;36;9;1;0;2e-05;0.366284
0;140736976403456;29265728;36;32;1;0;2e-05;0.443526
0;140737244535488;29265728;36;7;1;0;2e-05;0.443526
0;140737109836256;29265728;36;4;1;0;2e-05;0.443526
0;140737111236608;29265728;36;31;1;0;2e-05;0.342386
0;31609808;29265728;36;37;1;0;2e-05;0.342386
0;140737111685264;29265728;36;46;1;0;2e-05;0.391084
0;32038288;29265728;36;47;1;0;2e-05;0.391084
0;140736978297600;29265728;36;16;1;0;2e-05;0.366284
0;33158704;29265728;36;1;1;1;1e-05;0
0;33158848;33158704;37;7;1;1;1.00001;0.844784
0;140737113161888;33158848;38;42;0;0;0.04154;0.796357
0;140737247609792;33158848;38;21;0;0;0.10546;0.824096
0;33158992;33158848;38;19;0;0;0.10529;0.824051
0;33596816;33158848;38;48;0;1;0.74775;0.853277
0;140737247609936;33596816;39;45;1;0;0.06159;0.862323
0;140737247610368;33596816;39;37;1;0;0.10718;0.847528
0;33597488;33596816;39;32;1;0;0.10641;0.847693
0;140737247610512;33596816;39;4;1;1;0.0954;0.850306
0;140737113162608;33596816;39;46;1;0;0.05942;0.863421
0;140737113163344;33596816;39;31;1;0;0.10571;0.847731
0;140736979808496;33596816;39;9;1;0;0.04543;0.872356
0;33598256;33596816;39;47;1;0;0.05981;0.863225
0;140736979809216;33596816;39;26;1;0;0.10687;0.847584
0;33598976;140737247610512;40;31;1;1;1.01241;0.853635
0;140736979809504;140737247610512;40;9;1;0;0.01412;0.858887
0;33603536;140737247610512;40;37;1;0;0.0151;0.854693
0;140737113169200;140737247610512;40;32;1;0;0.01327;0.862819
0;140736979813920;140737247610512;40;16;1;0;0.02872;0.820712
0;140737113173328;140737247610512;40;26;1;0;0.01182;0.870717
0;140737247621472;33598976;41;19;0;1;0.44551;0.856117
0;33632736;33598976;41;21;0;0;0.44538;0.856114
0;140736979830464;33598976;41;42;0;0;0.12153;0.835308
0;140736979838336;140737247621472;42;45;1;0;0.04921;0.867195
0;33682032;140737247621472;42;32;1;0;0.03466;0.880267
0;140737247651808;140737247621472;42;26;1;0;0.05585;0.862995
0;140737247675792;140737247621472;42;37;1;0;0.03331;0.881867
0;33770464;140737247621472;42;46;1;1;0.04927;0.867143
0;140737247693040;140737247621472;42;47;1;0;0.04926;0.867157
